Player,Salary
LeBron James,30963450
DeMar DeRozan,26540100
Russell Westbrook,26540100
Mike Conley,26540100
James Harden,26540100
Kevin Durant,26540100
Al Horford,26540100
Dirk Nowitzki,25000000
Carmelo Anthony,24559380
Damian Lillard,24328425
Chris Bosh,23741060
Dwight Howard,23500000
Dwyane Wade,23200000
Chris Paul,22868827
Bradley Beal,22116750
Anthony Davis,22116750
Hassan Whiteside,22116750
Chandler Parsons,22116750
Andre Drummond,22116750
Harrison Barnes,22116750
Derrick Rose,21323252
Marc Gasol,21165675
DeAndre Jordan,21165675
Kevin Love,21165675
Brook Lopez,21165675
Nicolas Batum,20869566
LaMarcus Aldridge,20575005
Blake Griffin,20093064
Paul Millsap,20072033
Ryan Anderson,18735364
Allen Crabbe,18500000
Paul George,18100000
Luol Deng,18000000
Kawhi Leonard,17638063
Kyrie Irving,17638063
Jimmy Butler,17552209
Tobias Harris,17200000
Enes Kanter,17145838
Greg Monroe,17145838
Wesley Matthews,17145838
Bismack Biyombo,17000000
Evan Fournier,17000000
Joakim Noah,17000000
Klay Thompson,16663575
Evan Turner,16393443
Gordon Hayward,16073140
Ian Mahinmi,16000000
Timofey Mozgov,16000000
Goran Dragic,15891725
John Wall,15756438
DeMarcus Cousins,15756438
Kent Bazemore,15730337
Pau Gasol,15500000
Draymond Green,15330435
Tristan Thompson,15330435
Khris Middleton,15200000
Danilo Gallinari,15050000
Jeff Green,15000000
Reggie Jackson,14956522
Deron Williams,14885520
Tony Parker,14445313
Jonas Valanciunas,14382023
DeMarre Carroll,14200000
Manu Ginobili,14000000
Eric Bledsoe,14000000
Rajon Rondo,14000000
Ricky Rubio,13400000
Rudy Gay,13333333
Jamal Crawford,13253012
Robin Lopez,13219250
Michael Kidd-Gilchrist,13000000
JR Smith,12800000
Brandon Knight,12606250
Arron Afflalo,12500000
Jordan Clarkson,12500000
Tyson Chandler,12415000
Miles Plumlee,12400000
Eric Gordon,12385665
John Henson,12267606
Serge Ibaka,12250000
Marvin Williams,12250000
Stephen Curry,12112359
Nikola Pekovic,12100000
Thaddeus Young,12078652
Kenneth Faried,12078652
Marcin Gortat,12000000
Kyle Lowry,12000000
Kemba Walker,12000000
Amir Johnson,12000000
Nikola Vucevic,11750000
Solomon Hill,11709603
Jeremy Lin,11483254
Andrew Bogut,11410378
Courtney Lee,11242000
Wilson Chandler,11233146
Andre Iguodala,11131368
Derrick Favors,11050000
Joe Johnson,11000000
Jrue Holiday,11000000
Austin Rivers,11000000
Jon Leuer,10991957
Anderson Varejao,10851659
Monta Ellis,10763500
Mirza Teletovic,10500000
Jared Dudley,10470000
Al Jefferson,10230179
Tyreke Evans,10203755
Danny Green,10000000
Terrence Ross,10000000
Zach Randolph,10000000
Alec Burks,9904495
Omer Asik,9904494
Iman Shumpert,9662922
Matthew Dellavedova,9607500
Jerryd Bayless,9424084
Trevor Booker,9250000
Meyers Leonard,9213484
Gerald Henderson,9000000
Moe Harkless,8988764
Taj Gibson,8950000
E'Twaun Moore,8801363
Kris Humphries,8630000
Ersan Ilyasova,8400000
Dwight Powell,8375000
Avery Bradley,8269663
Tiago Splitter,8250000
Darrell Arthur,8070175
Kosta Koufos,8046500
George Hill,8000000
Anthony Tolliver,8000000
Garrett Temple,8000000
Kevin Garnett,8000000
Jeff Teague,8000000
Tyler Zeller,8000000
Channing Frye,7806971
Trevor Ariza,7800000
Jose Calderon,7708427
Al-Farouq Aminu,7680965
Cole Aldrich,7643979
Corey Brewer,7612172
Markieff Morris,7400000
Festus Ezeli,7400000
JJ Redick,7377500
Cory Joseph,7315000
DJ Augustin,7250000
Boris Diaw,7000000
Rodney Stuckey,7000000
Louis Williams,7000000
Jeremy Lamb,7000000
Sergio Rodriguez,6800000
Carl Landry,6750000
Ed Davis,6666667
Isaiah Thomas,6587131
Victor Oladipo,6552960
Jodie Meeks,6540000
Matt Barnes,6508351
Aron Baynes,6500000
Marco Belinelli,6333333
Jae Crowder,6286408
Lance Thomas,6191000
Tarik Black,6191000
Andrew Nicholson,6088993
Patrick Patterson,6050000
Andrew Wiggins,6006600
Wayne Ellington,6000000
Patrick Beverley,6000000
Ishmael Smith,6000000
Ramon Sessions,6000000
Alex Abrines,5994764
Karl-Anthony Towns,5960160
Ben Simmons,5903160
Otto Porter,5893981
Spencer Hawes,5782450
Josh McRoberts,5782450
Shaun Livingston,5782450
Nikola Mirotic,5782450
